iter	Passed	Remaining
765	1094	334
766	1095	332
767	1096	331
768	1097	329
769	1098	328
770	1099	326
771	1100	325
772	1101	323
773	1102	321
774	1103	320
775	1104	318
776	1105	317
777	1106	315
778	1107	314
779	1108	312
780	1109	311
781	1110	309
782	1111	308
783	1112	306
784	1113	305
785	1114	303
786	1115	301
787	1116	300
788	1117	298
789	1118	297
790	1119	295
791	1120	294
792	1121	292
793	1122	291
794	1123	289
795	1124	288
796	1125	286
797	1126	285
798	1127	283
799	1128	282
800	1129	280
801	1130	279
802	1131	277
803	1133	276
804	1134	274
805	1135	273
806	1136	271
807	1137	270
808	1138	268
809	1139	267
810	1140	265
811	1141	264
812	1142	262
813	1143	261
814	1144	259
815	1145	258
816	1147	256
817	1148	255
818	1149	254
819	1150	252
820	1151	251
821	1152	249
822	1153	248
823	1154	246
824	1155	245
825	1156	243
826	1157	242
827	1158	240
828	1159	239
829	1160	237
830	1162	236
831	1163	234
832	1164	233
833	1165	231
834	1166	230
835	1167	228
836	1168	227
837	1169	226
838	1170	224
839	1171	223
840	1172	221
841	1173	220
842	1174	218
843	1175	217
844	1176	215
845	1177	214
846	1179	213
847	1180	211
848	1181	210
849	1182	208
850	1183	207
851	1184	205
852	1185	204
853	1186	202
854	1187	201
855	1188	199
856	1189	198
857	1191	197
858	1192	195
859	1193	194
860	1194	192
861	1195	191
862	1196	189
863	1197	188
864	1198	187
865	1199	185
866	1200	184
867	1201	182
868	1202	181
869	1203	179
870	1204	178
871	1206	177
872	1207	175
873	1208	174
874	1209	172
875	1210	171
876	1211	169
877	1212	168
878	1213	167
879	1214	165
880	1215	164
881	1217	162
882	1218	161
883	1219	159
884	1220	158
885	1222	157
886	1225	156
887	1226	154
888	1227	153
889	1228	151
890	1229	150
891	1230	148
892	1231	147
893	1232	146
894	1233	144
895	1234	143
896	1235	141
897	1237	140
898	1238	139
899	1239	137
900	1240	136
901	1241	134
902	1242	133
903	1243	132
904	1244	130
905	1245	129
906	1246	127
907	1247	126
908	1248	125
909	1250	123
910	1251	122
911	1252	120
912	1253	119
913	1254	118
914	1255	116
915	1256	115
916	1257	113
917	1258	112
918	1259	111
919	1260	109
920	1261	108
921	1262	106
922	1264	105
923	1265	104
924	1266	102
925	1267	101
926	1268	99
927	1269	98
928	1270	97
929	1271	95
930	1272	94
931	1273	92
932	1274	91
933	1275	90
934	1276	88
935	1277	87
936	1278	85
937	1279	84
938	1280	83
939	1281	81
940	1282	80
941	1283	79
942	1284	77
943	1285	76
944	1286	74
945	1287	73
946	1288	72
947	1289	70
948	1291	69
949	1292	68
950	1293	66
951	1294	65
952	1295	63
953	1296	62
954	1297	61
955	1298	59
956	1299	58
957	1300	57
958	1301	55
959	1302	54
960	1303	52
961	1304	51
962	1305	50
963	1307	48
964	1308	47
965	1309	46
966	1310	44
967	1311	43
968	1312	41
969	1313	40
970	1314	39
971	1315	37
972	1316	36
973	1317	35
974	1318	33
975	1319	32
976	1320	31
977	1321	29
978	1322	28
979	1323	27
980	1324	25
981	1325	24
982	1326	22
983	1327	21
984	1328	20
985	1329	18
986	1330	17
987	1331	16
988	1332	14
989	1333	13
990	1334	12
991	1335	10
992	1336	9
993	1337	8
994	1338	6
995	1339	5
996	1340	4
997	1341	2
998	1342	1
999	1343	0
